NMEA|NMEA|NMEA|MSG|REPEAT|MMSI|SEQNO|DEST|RETRANS|DAC|FID|SUB
||!AIVDM,1,1,,A,6>lEMJCu5JTd000000dJ0h00,0*0F|6|0|994401641|0|1061513803|0|0|0|0
||!AIVDM,1,1,,B,6>lEMJCu5JTd000000dJ0h00,0*0C|6|0|994401641|0|1061513803|0|0|0|0
||!AIVDM,1,1,,A,6>lEMJCu5JTd000000db0h00,0*27|6|0|994401641|0|1061513803|0|0|0|0
||!AIVDM,1,1,,A,605GdW63b?Pp00000@MP0R00iSwwe5`P1U0,2*1A|6|0|5631132|1|552222222|0|0|0|1
||!AIVDM,1,1,,B,605GdWF3b?Pp00000@Q00R00iSwwe5`P1U0,2*15|6|0|5631133|1|552222222|0|0|0|1
||!AIVDM,1,1,,A,605GdWN3b?Pp00000@Q00R00iSwwe5`P1U0,2*1E|6|0|5631133|3|552222222|0|0|0|1
||!AIVDM,1,1,,B,605GdW>3b?Pp00000@MP0R00iSwwe5`P1U0,2*11|6|0|5631132|3|552222222|0|0|0|1
||!AIVDM,1,1,,A,605Gd`N3b?Pp00000@Ph0R00iSwwe5`P1U0,2*70|6|0|5631137|3|552222222|0|0|0|1
||!AIVDM,1,1,,B,605Gd`F3b?Pp00000@Ph0R00iSwwe5`P1U0,2*7B|6|0|5631137|1|552222222|0|0|0|1
||!AIVDM,1,1,,A,605GdWJ3b?Pp00000@Q00R00iSwwe5`P1U0,2*1A|6|0|5631133|2|552222222|0|0|0|1
||!AIVDM,1,1,,B,605GdWF3b?Pp00000@Q00R00iswwe5`P1U0,2*35|6|0|5631133|1|552222222|0|0|0|1
||!AIVDM,1,1,,A,605Gd`F3b?Pp00000@Ph0R00iSwwe5`P1U0,2*78|6|0|5631137|1|552222222|0|0|0|1
||!AIVDM,1,1,,B,605Gd`N3b?Pp00000@Ph0R00iSwwe5`P1U0,2*73|6|0|5631137|3|552222222|0|0|0|1
||!AIVDM,1,1,,A,6>jAVBP0000000000@0@0`00,0*21|6|0|992241226|0|0|0|0|0|1
||!AIVDM,1,1,,A,605GdW>3b?Pp00000@MP0R00iswwe5`P1U0,2*32|6|0|5631132|3|552222222|0|0|0|1
||!AIVDM,1,1,,A,605GdWN3b?Pp00000@Q00R00iswwe5`P1U0,2*3E|6|0|5631133|3|552222222|0|0|0|1
||!AIVDM,1,1,,B,605GdW63b?Pp00000@MP0R00iswwe5`P1U0,2*39|6|0|5631132|1|552222222|0|0|0|1
||!AIVDM,1,1,,A,605Gd`v3b?Pp00000@Nh0R00ip:6W<uP1U0,2*57|6|0|5631139|3|552222222|0|0|0|1
||!AIVDM,1,1,,A,605Gd`F3b?Pp00000@Ph0R00iswwe5`P1U0,2*58|6|0|5631137|1|552222222|0|0|0|1
||!AIVDM,1,1,,A,605GdWF3b?Pp00000@Q00R00iswwe5`P1U0,2*36|6|0|5631133|1|552222222|0|0|0|1
||!AIVDM,1,1,,B,605GdW>3b?Pp00000@MP0R00iswwe5`P1U0,2*31|6|0|5631132|3|552222222|0|0|0|1
