NMEA|NMEA|NMEA|MSG|REPEAT|MMSI|DAC|FID|
||!AIVDM,1,1,,A,8>l4ve@000<`8O@00000000,2*72|8|0|994131637|0|0|
||!AIVDM,1,1,,A,8>l4ve@0000I@@vP00000000,0*44|8|0|994131637|0|0|
||!AIVDM,1,1,,B,8>l4ve@000<`8O@00000000,2*71|8|0|994131637|0|0|
||!AIVDM,1,1,,A,83:4>dP02d<N<t>><kM@t?`00000,0*34|8|0|211881650|0|10|
|!AIVDM,2,1,7,A,8>lEJvP0Bj96WkWjHJbkP00000000000000000000000000000000000,0*2C|!AIVDM,2,2,7,A,000,2*23|8|0|994401018|1|11|
|!AIVDM,2,1,3,A,8>lEU1h0Bj47bCe?qRbkP00000000000000000000000000000000000,0*1F|!AIVDM,2,2,3,A,000,2*27|8|0|994403591|1|11|
|!AIVDM,2,1,2,A,8>lEM;h0Bj03?Sco>2bl210U4`SEh0=T0000Bp0000000000000000h0,0*20|!AIVDM,2,2,2,A,b00,2*74|8|0|994401583|1|11|
|!AIVDM,2,1,5,A,8>lEM=00Bj08bCcq:RbkQ@lIS@O5h0<p000000000000000000000000,0*74|!AIVDM,2,2,5,A,000,2*21|8|0|994401588|1|11|
|!AIVDM,2,1,8,A,8>lEM<h0Bj06FCd;uRbl2iTdThRmH0=8000000000000000000000000,0*53|!AIVDM,2,2,8,A,000,2*2C|8|0|994401587|1|11|
|!AIVDM,2,1,3,B,8>lEM:h0Bj0Bgkd?krbl0hP100P4p0=T0000At0000000000000000gP,0*79|!AIVDM,2,2,3,B,D@0,2*20|8|0|994401579|1|11|
||!AIVDM,1,1,,A,8@2<HVh0BkJs3PW842VDP@@Q1J`KOwe>wwwwwwwwwwwwwwwwwwwwwwwwwt0,2*1D|8|1|2300059|1|11|
|!AIVDM,2,1,3,A,8@2<HVh0BkJs3PW842VDP@@Q1J`KOwe>wwwwwwwwwwwwwwwwwwwwwwww,0*1C|!AIVDM,2,2,3,A,wt0,2*24|8|1|2300059|1|11|
