NMEA|MSG|REPEAT|MMSI|SEQNO|DEST|RETRANSMIT|TEXT
!AIVDM,2,1,1,A,<04758AViUlPtD?;I?P=1BD9CvG1B>9>7fPI?EBPF5CC5<P9CP1@@B?1389>,0*49|||||||
!AIVDM,2,2,1,A,7PD?PD85PC8?B5dG1D38P?EDQ0,4*27|12|0|4310305|0|431069000|0|<TOKYO MARTIS>WARNING. YOUR VESSEL IS APPROACHING TO THE SHORE,WATCH OUT!
!AIVDM,2,1,2,A,<0474hmVhagTt8?;;194?v9>6?B=1D9?>rI?EP81F5P1PB9C;P?6PBE>P17B?E,0*78|||||||
!AIVDM,2,2,2,A,>4fPG1D38P?EDQ,0*2E|12|0|4310211|1|431007481|0|<HOKKAIDO>INFORMATION:YOU HAVE A RISK OF RUN AGROUND. WATCH OUT!
!AIVDM,1,1,,A,<63GE4oLAsI`<?Pr2HB?T,1*62|12|0|406181139|1|923921818|0|LO :BXRO
!AIVDM,1,1,,A,<5Cw9t8pEI7P13;P,0*1C|12|0|356502000|2|236283000|0|ACK
!AIVDM,1,1,,A,<5Cw9t8pEI7P13;P,0*1C|12|0|356502000|2|236283000|0|ACK
!AIVDM,1,1,,A,<5Cw9t8pEI7P13;P,0*1C|12|0|356502000|2|236283000|0|ACK
!AIVDM,2,1,7,A,<Nl6lW1I5VF24?P>?DP1>38?BP?BPDB1G<P9>P312<5P1B51P`jmfppk,0*4B|||||||
!AIVDM,2,2,7,A,ejmfqnk>dijjfhqneijjfmm5a0,4*49|12|1|994161820|0|373660000|1|DO NOT ANCHOR OR TRAWL IN CABLE AREA (25.883-25.963N,122.096-122.55E)
!AIVDM,2,1,1,B,<028j7hmL?8h1ieBeG1B>9>7QP4?>lDP1>38?B9>7PVPDB1G<P69C89>7fPC,0*34|||||||
!AIVDM,2,2,1,B,E2=1B9>5P@?G5BP312<5CP1B51fP@<51C5dPB5C@?>4PD?PD89CPCB=0,0*61|12|0|2241055|0|224148620|0|A1-R-WARNING! DON4T ANCHORING & TRAWL FISHING. SUBMARINE POWER CABLES AREA. PLEASE, RESPOND TO THIS SRM
!AIVDM,2,1,3,A,<028j7hmL?8j1ieBeG1B>9>7QP4?>lDP1>38?B9>7PVPDB1G<P69C89>7fPC,0*37|||||||
!AIVDM,2,2,3,A,E2=1B9>5P@?G5BP312<5CP1B51fP@<51C5dPB5C@?>4PD?PD89CPCB=0,0*60|12|0|2241055|0|224148620|1|A1-R-WARNING! DON4T ANCHORING & TRAWL FISHING. SUBMARINE POWER CABLES AREA. PLEASE, RESPOND TO THIS SRM
!AIVDM,2,1,5,B,<028j7hmL?8j1ieBeG1B>9>7QP4?>lDP1>38?B9>7PVPDB1G<P69C89>7fPC,0*32|||||||
!AIVDM,2,2,5,B,E2=1B9>5P@?G5BP312<5CP1B51fP@<51C5dPB5C@?>4PD?PD89CPCB=0,0*65|12|0|2241055|0|224148620|1|A1-R-WARNING! DON4T ANCHORING & TRAWL FISHING. SUBMARINE POWER CABLES AREA. PLEASE, RESPOND TO THIS SRM
!AIVDM,1,1,,A,<3HT5t000002,0*76|12|0|227083760|0|0|1|
!AIVDM,3,1,2,A,<@28j61HdD;P1F9C?gG1B>9>7rP1>7E<?feP61B?feP49AE5P5HD5B9?BdP`,0*75|||||||
!AIVDM,3,2,2,A,jmohhadP<EJPC9>PC53D?B5Cg<978DPG9D8?EDPC53D?BCdPkqPjofkhP>dP,0*3B|||||||
!AIVDM,3,3,2,A,hPiofinPGdP5CD14?gCD1DECrP1@17141gE><9D0,0*7F|12|1|2241048|0|372003000|0|AVISO/WARNING: ANGULO.- FARO.- DIQUE EXTERIOR, (25700), LUZ SIN SECTORES/LIGHT WITHOUT SECTORS, 39 27.30 N, 0 17.16 W, ESTADO/STATUS: APAGADA/UNLIT
!AIVDM,3,1,4,A,<@28j61HdD;P1F9C?gG1B>9>7rP1>7E<?feP61B?feP49AE5P5HD5B9?BdP`,0*73|||||||
!AIVDM,3,2,4,A,jmohhadP<EJPC9>PC53D?B5Cg<978DPG9D8?EDPC53D?BCdPkqPjofkhP>dP,0*3D|||||||
!AIVDM,3,3,4,A,hPiofinPGdP5CD14?gCD1DECrP1@17141gE><9D0,0*79|12|1|2241048|0|372003000|0|AVISO/WARNING: ANGULO.- FARO.- DIQUE EXTERIOR, (25700), LUZ SIN SECTORES/LIGHT WITHOUT SECTORS, 39 27.30 N, 0 17.16 W, ESTADO/STATUS: APAGADA/UNLIT
!AIVDM,2,1,0,B,<04k0a1:Ag@P1=C1PB5=9>4CPC89@=1CD5BCPD?P>1F971D5PC165<IfP6?<,0*7B|||||||
!AIVDM,2,2,0,B,<?GPD85P381BD54PDG?eG1IPB?ED5P96PC165PD?P4?PC?f0,0*7E|12|0|5030052|0|311541000|0|AMSA REMINDS SHIPMASTERS TO NAVIGATE SAFELY. FOLLOW THE CHARTED TWO-WAY ROUTE IF SAFE TO DO SO.
!AIVDM,3,1,4,B,<@28j61HdD;P1F9C?gG1B>9>7rP1>7E<?feP61B?feP49AE5P5HD5B9?BdP`,0*70|||||||
!AIVDM,3,2,4,B,jmohhadP<EJPC9>PC53D?B5Cg<978DPG9D8?EDPC53D?BCdPkqPjofkhP>dP,0*3E|||||||
!AIVDM,3,3,4,B,hPiofinPGdP5CD14?gCD1DECrP1@17141gE><9D0,0*7A|12|1|2241048|0|372003000|0|AVISO/WARNING: ANGULO.- FARO.- DIQUE EXTERIOR, (25700), LUZ SIN SECTORES/LIGHT WITHOUT SECTORS, 39 27.30 N, 0 17.16 W, ESTADO/STATUS: APAGADA/UNLIT
!AIVDM,3,1,9,B,<@28j61HdD;P1F9C?gG1B>9>7rP1>7E<?feP61B?feP49AE5P5HD5B9?BdP`,0*7D|||||||
!AIVDM,3,2,9,B,jmohhadP<EJPC9>PC53D?B5Cg<978DPG9D8?EDPC53D?BCdPkqPjofkhP>dP,0*33|||||||
!AIVDM,3,3,9,B,hPiofinPGdP5CD14?gCD1DECrP1@17141gE><9D0,0*77|12|1|2241048|0|372003000|0|AVISO/WARNING: ANGULO.- FARO.- DIQUE EXTERIOR, (25700), LUZ SIN SECTORES/LIGHT WITHOUT SECTORS, 39 27.30 N, 0 17.16 W, ESTADO/STATUS: APAGADA/UNLIT
!AIVDM,3,1,7,A,<@28j60mJ@DP1F9C?gG1B>9>7rP1>7E<?feP61B?feP49AE5P5HD5B9?BdP`,0*01|||||||
!AIVDM,3,2,7,A,jmohhadP<EJPC9>PC53D?B5Cg<978DPG9D8?EDPC53D?BCdPkqPjofkhP>dP,0*3E|||||||
!AIVDM,3,3,7,A,hPiofinPGdP5CD14?gCD1DECrP1@17141gE><9D0,0*7A|12|1|2241048|0|224018760|0|AVISO/WARNING: ANGULO.- FARO.- DIQUE EXTERIOR, (25700), LUZ SIN SECTORES/LIGHT WITHOUT SECTORS, 39 27.30 N, 0 17.16 W, ESTADO/STATUS: APAGADA/UNLIT
!AIVDM,3,1,4,B,<@28j60mJ@DP1F9C?gG1B>9>7rP1>7E<?feP61B?feP49AE5P5HD5B9?BdP`,0*01|||||||
!AIVDM,3,2,4,B,jmohhadP<EJPC9>PC53D?B5Cg<978DPG9D8?EDPC53D?BCdPkqPjofkhP>dP,0*3E|||||||
!AIVDM,3,3,4,B,hPiofinPGdP5CD14?gCD1DECrP1@17141gE><9D0,0*7A|12|1|2241048|0|224018760|0|AVISO/WARNING: ANGULO.- FARO.- DIQUE EXTERIOR, (25700), LUZ SIN SECTORES/LIGHT WITHOUT SECTORS, 39 27.30 N, 0 17.16 W, ESTADO/STATUS: APAGADA/UNLIT
!AIVDM,3,1,2,B,<@28j60mJ@DP1F9C?gG1B>9>7rP1>7E<?feP61B?feP49AE5P5HD5B9?BdP`,0*07|||||||
!AIVDM,3,2,2,B,jmohhadP<EJPC9>PC53D?B5Cg<978DPG9D8?EDPC53D?BCdPkqPjofkhP>dP,0*38|||||||
!AIVDM,3,3,2,B,hPiofinPGdP5CD14?gCD1DECrP1@17141gE><9D0,0*7C|12|1|2241048|0|224018760|0|AVISO/WARNING: ANGULO.- FARO.- DIQUE EXTERIOR, (25700), LUZ SIN SECTORES/LIGHT WITHOUT SECTORS, 39 27.30 N, 0 17.16 W, ESTADO/STATUS: APAGADA/UNLIT
!AIVDM,1,1,,A,<4RTkD66@cg@13;P,0*6A|12|0|304690000|1|563130100|0|ACK
!AIVDM,1,1,,B,<4RTkD66@cg@13;P,0*69|12|0|304690000|1|563130100|0|ACK
